,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
2605,PSP,2009.0,Strategy,Sony Computer Entertainment,0.17,0.51,0.0,0.79
2615,Wii,2007.0,Shooter,Sega,0.42,0.21,0.08,0.79
2617,DS,2007.0,Action,THQ,0.71,0.02,0.0,0.79
2619,Wii,2011.0,Sports,Electronic Arts,0.16,0.52,0.0,0.79
2624,DS,2008.0,Sports,Nintendo,0.22,0.32,0.17,0.79
2626,Wii,2011.0,Action,Nintendo,0.27,0.2,0.27,0.79
2632,DS,2006.0,Shooter,Nintendo,0.58,0.04,0.11,0.78
2636,DS,2009.0,Puzzle,Ubisoft,0.41,0.3,0.0,0.78
2637,DS,2008.0,Adventure,THQ,0.72,0.0,0.0,0.78
2642,DS,2010.0,Puzzle,Nintendo,0.29,0.3,0.12,0.78
2644,PSP,2006.0,Strategy,THQ,0.11,0.43,0.0,0.78
2649,PSP,2008.0,Racing,Electronic Arts,0.24,0.33,0.01,0.78
2657,Wii,2009.0,Action,Electronic Arts,0.28,0.4,0.0,0.77
2658,Wii,2009.0,Misc,Activision,0.47,0.23,0.0,0.77
2665,PSP,2008.0,Racing,Electronic Arts,0.23,0.32,0.03,0.77
2678,PSP,2005.0,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.77
2681,DS,2004.0,Racing,Nintendo,0.21,0.14,0.38,0.77
2689,Wii,2010.0,Adventure,Ubisoft,0.22,0.47,0.0,0.76
2700,DS,2005.0,Misc,Sega,0.7,0.01,0.0,0.76
2702,Wii,2009.0,Puzzle,THQ,0.29,0.39,0.0,0.76
2712,PC,2011.0,Action,Ubisoft,0.14,0.48,0.0,0.76
2716,Wii,2014.0,Sports,Electronic Arts,0.24,0.46,0.0,0.76
2718,PSP,2009.0,Racing,Electronic Arts,0.16,0.38,0.01,0.76
2724,Wii,2010.0,Misc,Electronic Arts,0.24,0.44,0.0,0.76
2728,PC,2013.0,Strategy,Sega,0.12,0.53,0.0,0.76
2732,PSP,2008.0,Fighting,THQ,0.41,0.21,0.0,0.75
2738,Wii,2009.0,Fighting,THQ,0.51,0.17,0.0,0.75
2747,PSP,2005.0,Sports,Electronic Arts,0.69,0.0,0.0,0.75
2748,PSP,2005.0,Shooter,Konami Digital Entertainment,0.28,0.29,0.0,0.75
2752,DS,2008.0,Action,Activision,0.42,0.26,0.0,0.75
2760,DS,2008.0,Sports,Sega,0.29,0.37,0.0,0.75
2763,DS,2006.0,Fighting,Nintendo,0.0,0.0,0.74,0.74
2767,PSP,2007.0,Shooter,Ubisoft,0.42,0.19,0.0,0.74
2779,PC,2011.0,Action,Electronic Arts,0.16,0.45,0.0,0.74
2782,Wii,2009.0,Action,Activision,0.36,0.3,0.0,0.74
2793,DS,2007.0,Simulation,Electronic Arts,0.63,0.05,0.0,0.73
2797,PC,2013.0,Shooter,Activision,0.23,0.41,0.0,0.73
2801,Wii,2009.0,Sports,Electronic Arts,0.63,0.04,0.0,0.73
2802,DS,2005.0,Platform,Nintendo,0.37,0.0,0.32,0.73
2804,DS,2007.0,Misc,Nintendo,0.0,0.0,0.73,0.73
2808,PC,2014.0,Role-Playing,Electronic Arts,0.32,0.34,0.0,0.73
2809,DS,2009.0,Adventure,Activision,0.67,0.01,0.0,0.73
2812,Wii,2011.0,Misc,Nintendo,0.0,0.0,0.73,0.73
2817,Wii,2009.0,Action,Ubisoft,0.33,0.32,0.0,0.73
2820,DS,2008.0,Simulation,Ubisoft,0.34,0.31,0.0,0.73
2825,DS,2009.0,Platform,Ubisoft,0.35,0.3,0.0,0.72
2828,Wii,2012.0,Action,Electronic Arts,0.19,0.46,0.0,0.72
2854,DS,2010.0,Sports,Electronic Arts,0.13,0.5,0.0,0.72
2855,PC,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.72
2856,PC,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.71
2869,PSP,2007.0,Sports,Electronic Arts,0.6,0.04,0.0,0.71
2874,PSP,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.71
2889,PC,2013.0,Sports,Sega,0.0,0.6,0.0,0.71
2891,PSP,2010.0,Fighting,THQ,0.22,0.31,0.0,0.71
2900,PSP,2005.0,Action,Activision,0.35,0.21,0.0,0.71
2908,DS,2008.0,Simulation,Electronic Arts,0.32,0.31,0.0,0.7
2912,DS,2011.0,Simulation,Activision,0.54,0.1,0.0,0.7
2919,DS,2010.0,Simulation,Electronic Arts,0.39,0.25,0.0,0.7
2925,DS,2009.0,Simulation,THQ,0.43,0.2,0.0,0.7
2926,PSP,2005.0,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.7
2944,PSP,2007.0,Action,Konami Digital Entertainment,0.26,0.01,0.26,0.69
2952,PSP,2006.0,Racing,THQ,0.64,0.0,0.0,0.69
2961,PC,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.69
2969,PC,2011.0,Simulation,Electronic Arts,0.27,0.32,0.0,0.69
2973,Wii,2012.0,Action,Nintendo,0.34,0.0,0.33,0.68
2974,Wii,2009.0,Action,Activision,0.6,0.03,0.0,0.68
2976,Wii,2011.0,Role-Playing,Nintendo,0.32,0.13,0.18,0.68
2986,PSP,2007.0,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.68
2988,DS,2010.0,Role-Playing,Nintendo,0.32,0.0,0.34,0.68
2995,DS,2007.0,Racing,THQ,0.63,0.01,0.0,0.68
2998,Wii,2006.0,Shooter,Ubisoft,0.55,0.04,0.04,0.68
3001,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.68
3006,DS,2008.0,Misc,Nintendo,0.13,0.52,0.0,0.67
3019,Wii,2010.0,Sports,THQ,0.49,0.13,0.0,0.67
3024,Wii,2008.0,Racing,Electronic Arts,0.27,0.32,0.0,0.67
3025,Wii,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.67,0.67
3026,PC,2015.0,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.67
3027,PSP,2005.0,Sports,Sega,0.16,0.36,0.0,0.67
3029,PSP,2007.0,Action,THQ,0.22,0.28,0.0,0.67
3032,Wii,2008.0,Sports,Ubisoft,0.0,0.66,0.0,0.67
3036,Wii,2008.0,Puzzle,Ubisoft,0.18,0.41,0.0,0.67
3038,Wii,2008.0,Action,Activision,0.3,0.29,0.01,0.67
3040,PC,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.67
3042,PSP,2006.0,Fighting,THQ,0.33,0.2,0.0,0.67
3043,DS,2010.0,Misc,Ubisoft,0.0,0.58,0.0,0.67
3048,PC,2010.0,Simulation,Electronic Arts,0.01,0.53,0.0,0.67
3066,Wii,2012.0,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.66
3070,PC,2013.0,Misc,Ubisoft,0.35,0.24,0.0,0.66
3073,PC,2010.0,Strategy,Sega,0.02,0.52,0.0,0.66
3075,DS,2007.0,Platform,Nintendo,0.28,0.02,0.33,0.66
3081,Wii,2008.0,Strategy,Nintendo,0.29,0.14,0.19,0.66
3084,PSP,2010.0,Action,Namco Bandai Games,0.03,0.0,0.62,0.66
3088,PSP,2009.0,Sports,Electronic Arts,0.5,0.08,0.0,0.66
3089,PSP,2007.0,Action,Activision,0.23,0.27,0.0,0.66
3090,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.66,0.66
3103,PSP,2008.0,Platform,THQ,0.29,0.22,0.0,0.65
3105,DS,2009.0,Action,THQ,0.31,0.28,0.0,0.65
3110,DS,2009.0,Puzzle,THQ,0.45,0.14,0.0,0.65
3114,DS,2008.0,Role-Playing,Nintendo,0.31,0.03,0.27,0.65
3123,PSP,2007.0,Racing,THQ,0.35,0.18,0.0,0.65
3129,Wii,2011.0,Misc,Ubisoft,0.39,0.2,0.0,0.65
3130,DS,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.65,0.65
3132,PC,2013.0,Shooter,Electronic Arts,0.17,0.39,0.0,0.64
3133,DS,2007.0,Simulation,THQ,0.6,0.0,0.0,0.64
3154,PC,2011.0,Action,Electronic Arts,0.23,0.33,0.0,0.64
3178,Wii,2007.0,Racing,Nintendo,0.2,0.26,0.11,0.64
3182,Wii,2009.0,Misc,Ubisoft,0.59,0.0,0.0,0.64
3183,Wii,2010.0,Shooter,Ubisoft,0.36,0.21,0.01,0.63
3200,PSP,2008.0,Action,Sega,0.46,0.09,0.0,0.63
3202,DS,2009.0,Action,Electronic Arts,0.21,0.35,0.0,0.63
3205,Wii,2010.0,Misc,Activision,0.49,0.09,0.0,0.63
3208,Wii,2007.0,Sports,Activision,0.58,0.0,0.0,0.63
3211,DS,2010.0,Shooter,Activision,0.54,0.05,0.0,0.63
3214,Wii,2009.0,Shooter,Nintendo,0.43,0.05,0.0,0.63
3218,PC,2011.0,Simulation,Electronic Arts,0.4,0.23,0.0,0.63
3220,DS,2009.0,Strategy,Ubisoft,0.31,0.25,0.0,0.63
3230,Wii,2009.0,Simulation,THQ,0.41,0.16,0.0,0.63
3233,DS,2009.0,Racing,Electronic Arts,0.26,0.29,0.0,0.63
3247,PC,2014.0,Shooter,Ubisoft,0.15,0.42,0.0,0.62
3262,DS,2010.0,Misc,Activision,0.58,0.0,0.0,0.62
3264,Wii,2007.0,Action,THQ,0.57,0.01,0.0,0.62
3268,PSP,2009.0,Fighting,THQ,0.25,0.23,0.0,0.62
3301,Wii,2010.0,Sports,Activision,0.58,0.0,0.0,0.61
3302,DS,2007.0,Misc,Nintendo,0.0,0.0,0.61,0.61
3304,Wii,2008.0,Platform,Nintendo,0.24,0.17,0.14,0.61
3307,DS,2008.0,Simulation,Electronic Arts,0.31,0.24,0.0,0.61
3310,Wii,2010.0,Misc,Namco Bandai Games,0.47,0.09,0.01,0.61
3311,PSP,2009.0,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.61
3313,DS,2007.0,Simulation,Electronic Arts,0.33,0.03,0.21,0.61
3315,DS,2008.0,Simulation,Ubisoft,0.56,0.0,0.0,0.61
3323,Wii,2009.0,Misc,Activision,0.33,0.21,0.0,0.61
3329,DS,2008.0,Simulation,Electronic Arts,0.34,0.2,0.0,0.61
3333,Wii,2009.0,Strategy,Nintendo,0.11,0.14,0.33,0.6
3342,DS,2007.0,Action,Sega,0.28,0.25,0.0,0.6
3347,DS,2009.0,Misc,Nintendo,0.18,0.19,0.2,0.6
3355,PSP,2009.0,Action,Ubisoft,0.22,0.24,0.0,0.6
3378,DS,2004.0,Racing,Ubisoft,0.31,0.22,0.0,0.6
3381,DS,2005.0,Puzzle,Nintendo,0.26,0.0,0.31,0.6
3382,PC,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.59
3388,Wii,2010.0,Misc,THQ,0.56,0.0,0.0,0.59
3390,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.59
3395,Wii,2008.0,Action,Sega,0.31,0.22,0.0,0.59
3398,PC,2011.0,Strategy,Sega,0.19,0.31,0.0,0.59
3402,PSP,2009.0,Action,Activision,0.21,0.24,0.0,0.59
3411,Wii,2007.0,Action,Activision,0.52,0.03,0.0,0.59
3422,Wii,2008.0,Sports,Electronic Arts,0.51,0.04,0.0,0.59
3434,DS,2009.0,Sports,Electronic Arts,0.14,0.37,0.0,0.59
3439,Wii,2007.0,Simulation,Ubisoft,0.53,0.01,0.0,0.58
3441,Wii,2009.0,Shooter,Sega,0.29,0.23,0.0,0.58
3445,Wii,2010.0,Sports,Activision,0.53,0.02,0.0,0.58
3451,Wii,2009.0,Misc,Electronic Arts,0.21,0.31,0.0,0.58
3453,PC,2009.0,Simulation,Electronic Arts,0.02,0.18,0.0,0.58
3455,Wii,2011.0,Platform,Ubisoft,0.23,0.29,0.0,0.58
3457,PC,2014.0,Shooter,Electronic Arts,0.21,0.3,0.0,0.58
3478,DS,2009.0,Simulation,Ubisoft,0.53,0.0,0.0,0.58
3495,DS,2010.0,Adventure,Nintendo,0.1,0.41,0.01,0.58
3496,Wii,2009.0,Sports,Activision,0.52,0.02,0.0,0.58
3498,Wii,2010.0,Puzzle,Nintendo,0.34,0.17,0.02,0.58
3512,Wii,2009.0,Action,THQ,0.23,0.28,0.0,0.57
3519,DS,2008.0,Action,THQ,0.53,0.0,0.0,0.57
3526,PC,2010.0,Action,Ubisoft,0.01,0.45,0.0,0.57
3527,DS,2008.0,Simulation,Ubisoft,0.52,0.01,0.0,0.57
3530,DS,2006.0,Simulation,Ubisoft,0.51,0.02,0.0,0.57
3535,PSP,2011.0,Action,Konami Digital Entertainment,0.1,0.12,0.29,0.57
3548,DS,2007.0,Adventure,THQ,0.29,0.22,0.0,0.57
3562,DS,2007.0,Platform,Nintendo,0.26,0.04,0.24,0.56
3573,PSP,2006.0,Sports,Activision,0.41,0.08,0.0,0.56
3576,DS,2007.0,Adventure,Nintendo,0.27,0.05,0.22,0.56
3587,Wii,2010.0,Sports,Activision,0.41,0.11,0.0,0.56
3595,Wii,2011.0,Misc,THQ,0.44,0.08,0.0,0.56
3601,DS,2008.0,Simulation,THQ,0.27,0.23,0.0,0.56
3606,Wii,2008.0,Action,Activision,0.32,0.18,0.0,0.56
3610,DS,2006.0,Simulation,Ubisoft,0.49,0.02,0.0,0.56
3612,DS,2008.0,Misc,Nintendo,0.0,0.0,0.56,0.56
3614,DS,2008.0,Simulation,Ubisoft,0.48,0.04,0.0,0.56
3617,Wii,2010.0,Sports,Electronic Arts,0.24,0.26,0.0,0.56
3620,Wii,2010.0,Racing,Activision,0.5,0.02,0.0,0.56
3621,Wii,2006.0,Sports,Activision,0.51,0.0,0.0,0.56
3623,DS,2007.0,Simulation,THQ,0.18,0.36,0.0,0.56
3630,DS,2010.0,Simulation,Activision,0.41,0.11,0.0,0.55
3637,Wii,2010.0,Action,Electronic Arts,0.22,0.28,0.0,0.55
3641,DS,2005.0,Fighting,Nintendo,0.0,0.0,0.55,0.55
3655,PSP,2008.0,Platform,Sony Computer Entertainment,0.33,0.22,0.0,0.55
3656,PC,2014.0,Action,Ubisoft,0.17,0.33,0.0,0.55
3659,DS,2008.0,Sports,Activision,0.51,0.0,0.0,0.55
3675,Wii,2008.0,Sports,Ubisoft,0.49,0.02,0.0,0.55
3682,Wii,2008.0,Misc,THQ,0.51,0.0,0.0,0.55
3696,Wii,2006.0,Racing,Nintendo,0.4,0.03,0.08,0.54
3700,PSP,2010.0,Racing,Sony Computer Entertainment,0.11,0.27,0.02,0.54
3708,DS,2008.0,Role-Playing,Nintendo,0.0,0.14,0.38,0.54
3725,DS,2008.0,Misc,Ubisoft,0.24,0.23,0.0,0.54
3728,PSP,2010.0,Role-Playing,Sega,0.12,0.16,0.18,0.54
3730,Wii,2012.0,Sports,Electronic Arts,0.51,0.0,0.0,0.54
3735,DS,2010.0,Action,Activision,0.32,0.17,0.0,0.54
3737,DS,2009.0,Fighting,THQ,0.35,0.14,0.0,0.54
3740,DS,2006.0,Shooter,Nintendo,0.39,0.01,0.1,0.54
3749,DS,2008.0,Role-Playing,Konami Digital Entertainment,0.04,0.01,0.48,0.54
3752,Wii,2008.0,Role-Playing,Namco Bandai Games,0.22,0.05,0.24,0.54
3755,PC,2015.0,Shooter,Electronic Arts,0.13,0.37,0.0,0.54
3761,Wii,2008.0,Action,THQ,0.49,0.0,0.0,0.53
3771,DS,2006.0,Role-Playing,Sega,0.18,0.0,0.33,0.53
3772,DS,2009.0,Simulation,Electronic Arts,0.26,0.21,0.0,0.53
3787,PSP,2011.0,Sports,Electronic Arts,0.12,0.26,0.02,0.53
3796,PSP,2007.0,Shooter,Ubisoft,0.35,0.1,0.0,0.53
3799,DS,2010.0,Simulation,Electronic Arts,0.5,0.0,0.0,0.53
3815,DS,2009.0,Puzzle,Nintendo,0.3,0.03,0.16,0.53
3817,PSP,2007.0,Action,Konami Digital Entertainment,0.22,0.16,0.04,0.53
3826,Wii,2006.0,Racing,Ubisoft,0.46,0.01,0.02,0.52
3829,DS,2009.0,Misc,Ubisoft,0.09,0.37,0.0,0.52
3830,Wii,2009.0,Fighting,Nintendo,0.45,0.04,0.0,0.52
3831,PSP,2006.0,Fighting,Electronic Arts,0.46,0.02,0.0,0.52
3857,Wii,2007.0,Action,THQ,0.44,0.04,0.0,0.52
3865,DS,2006.0,Misc,Nintendo,0.0,0.0,0.52,0.52
3869,DS,2007.0,Misc,Ubisoft,0.48,0.0,0.0,0.52
3871,PC,2006.0,Simulation,Electronic Arts,0.46,0.05,0.0,0.52
3872,DS,2008.0,Action,Sega,0.35,0.12,0.0,0.52
3876,Wii,2007.0,Misc,Ubisoft,0.46,0.02,0.0,0.51
3878,PC,2009.0,Role-Playing,Electronic Arts,0.0,0.46,0.0,0.51
3886,DS,2009.0,Puzzle,Ubisoft,0.35,0.12,0.0,0.51
3888,PC,2015.0,Strategy,Activision,0.18,0.29,0.0,0.51
3890,PSP,2009.0,Fighting,Namco Bandai Games,0.12,0.2,0.07,0.51
3893,Wii,2009.0,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.51
3895,DS,2008.0,Misc,Nintendo,0.0,0.0,0.51,0.51
3900,PSP,2006.0,Sports,Electronic Arts,0.47,0.0,0.0,0.51
3901,Wii,2008.0,Sports,Sega,0.46,0.01,0.0,0.51
3902,Wii,2007.0,Strategy,Nintendo,0.28,0.03,0.17,0.51
3910,DS,2009.0,Action,Activision,0.33,0.13,0.0,0.51
3912,Wii,2006.0,Platform,THQ,0.45,0.02,0.0,0.51
3923,DS,2007.0,Puzzle,Nintendo,0.17,0.02,0.3,0.51
3926,PSP,2009.0,Action,Electronic Arts,0.18,0.21,0.0,0.51
3937,DS,2007.0,Simulation,THQ,0.46,0.01,0.0,0.51
3972,Wii,2007.0,Misc,Electronic Arts,0.43,0.03,0.0,0.5
3975,Wii,2006.0,Sports,Electronic Arts,0.46,0.0,0.0,0.5
3980,Wii,2011.0,Misc,Nintendo,0.27,0.04,0.17,0.5
3984,DS,2004.0,Action,Activision,0.41,0.02,0.03,0.5
3996,DS,2008.0,Misc,Ubisoft,0.46,0.0,0.0,0.5
3999,Wii,2009.0,Racing,Activision,0.29,0.16,0.0,0.5
4018,Wii,2007.0,Racing,THQ,0.46,0.0,0.0,0.49
4036,DS,2006.0,Platform,THQ,0.45,0.0,0.0,0.49
4039,DS,2008.0,Sports,Electronic Arts,0.12,0.31,0.0,0.49
4043,Wii,2009.0,Shooter,Activision,0.24,0.2,0.0,0.49
4047,DS,2010.0,Action,Activision,0.42,0.02,0.02,0.49
4048,PC,2010.0,Shooter,Electronic Arts,0.2,0.23,0.0,0.49
4061,PSP,2008.0,Sports,Sega,0.0,0.47,0.0,0.49
4069,DS,2008.0,Adventure,Ubisoft,0.08,0.35,0.0,0.49
4076,PC,2008.0,Action,Ubisoft,0.01,0.45,0.0,0.49
4078,Wii,2007.0,Action,Electronic Arts,0.38,0.06,0.0,0.49
4079,DS,2008.0,Misc,Ubisoft,0.44,0.01,0.0,0.49
4083,Wii,2009.0,Shooter,Electronic Arts,0.33,0.11,0.01,0.48
4084,DS,2007.0,Puzzle,Ubisoft,0.0,0.48,0.0,0.48
4087,DS,2006.0,Role-Playing,Nintendo,0.16,0.01,0.29,0.48
4089,Wii,2009.0,Sports,Namco Bandai Games,0.15,0.27,0.0,0.48
4090,Wii,2007.0,Simulation,Electronic Arts,0.42,0.03,0.0,0.48
4095,Wii,2009.0,Action,Konami Digital Entertainment,0.23,0.19,0.01,0.48
4111,PSP,2010.0,Sports,Electronic Arts,0.09,0.24,0.03,0.48
4122,PC,2014.0,Simulation,Sega,0.0,0.43,0.0,0.48
4124,Wii,2010.0,Racing,Electronic Arts,0.18,0.24,0.0,0.48
4128,Wii,2010.0,Action,Nintendo,0.38,0.01,0.07,0.48
4130,Wii,2007.0,Platform,Activision,0.42,0.02,0.0,0.48
4141,Wii,2008.0,Simulation,Electronic Arts,0.37,0.03,0.04,0.48
4143,DS,2009.0,Racing,THQ,0.35,0.09,0.0,0.48
4144,Wii,2008.0,Racing,Ubisoft,0.15,0.27,0.0,0.48
4157,Wii,2009.0,Racing,Electronic Arts,0.19,0.23,0.0,0.47
4158,DS,2006.0,Action,Ubisoft,0.43,0.01,0.0,0.47
4162,DS,2005.0,Platform,Konami Digital Entertainment,0.37,0.04,0.03,0.47
4169,Wii,2010.0,Fighting,THQ,0.3,0.13,0.0,0.47
4172,Wii,2008.0,Simulation,Ubisoft,0.42,0.01,0.0,0.47
4180,PC,2009.0,Strategy,THQ,0.0,0.45,0.0,0.47
4181,PSP,2007.0,Racing,Sega,0.1,0.22,0.02,0.47
4183,DS,2007.0,Platform,Activision,0.41,0.02,0.0,0.47
4191,Wii,2009.0,Puzzle,Electronic Arts,0.34,0.09,0.0,0.47
4192,PC,2010.0,Simulation,Electronic Arts,0.0,0.29,0.0,0.47
4201,PC,2011.0,Sports,Electronic Arts,0.04,0.33,0.0,0.47
4203,DS,2007.0,Action,Activision,0.43,0.0,0.0,0.47
4207,PC,2011.0,Simulation,Electronic Arts,0.0,0.38,0.0,0.47
4223,DS,2007.0,Sports,Ubisoft,0.46,0.01,0.0,0.47
4239,PSP,2007.0,Shooter,Sony Computer Entertainment,0.25,0.12,0.0,0.46
4249,PSP,2006.0,Racing,Sony Computer Entertainment,0.37,0.04,0.0,0.46
4253,Wii,2010.0,Sports,Konami Digital Entertainment,0.36,0.06,0.0,0.46
4254,DS,2011.0,Action,Activision,0.34,0.09,0.0,0.46
4259,PSP,2006.0,Shooter,Ubisoft,0.23,0.14,0.0,0.46
4260,DS,2008.0,Adventure,THQ,0.42,0.0,0.0,0.46
4274,DS,2006.0,Fighting,Sega,0.3,0.01,0.12,0.46
4275,Wii,2011.0,Sports,Electronic Arts,0.43,0.0,0.0,0.46
4278,DS,2011.0,Misc,THQ,0.37,0.05,0.0,0.46
4290,PSP,2007.0,Racing,Electronic Arts,0.02,0.38,0.01,0.46
4298,Wii,2009.0,Adventure,Activision,0.42,0.0,0.0,0.46
4315,Wii,2007.0,Adventure,Activision,0.42,0.0,0.0,0.45
4325,DS,2012.0,Misc,Activision,0.03,0.37,0.0,0.45
4331,DS,2008.0,Misc,Ubisoft,0.41,0.01,0.0,0.45
4333,PC,2014.0,Action,Ubisoft,0.14,0.26,0.0,0.45
4334,Wii,2008.0,Misc,Konami Digital Entertainment,0.42,0.0,0.0,0.45
4349,DS,2007.0,Misc,Ubisoft,0.41,0.01,0.0,0.45
4354,DS,2009.0,Action,Activision,0.27,0.14,0.0,0.45
4355,Wii,2009.0,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.45
4359,Wii,2009.0,Action,Nintendo,0.1,0.02,0.32,0.45
4367,Wii,2009.0,Simulation,Konami Digital Entertainment,0.26,0.14,0.0,0.45
4369,Wii,2007.0,Simulation,Ubisoft,0.41,0.01,0.0,0.45
4370,DS,2007.0,Action,Activision,0.41,0.0,0.0,0.45
4374,DS,2009.0,Misc,Activision,0.21,0.19,0.0,0.45
4382,PSP,2010.0,Shooter,Sony Computer Entertainment,0.17,0.13,0.06,0.45
4391,PSP,2007.0,Strategy,THQ,0.04,0.26,0.0,0.45
4401,Wii,2008.0,Sports,Electronic Arts,0.18,0.22,0.0,0.45
4406,Wii,2009.0,Misc,Konami Digital Entertainment,0.24,0.16,0.0,0.45
4423,Wii,2009.0,Misc,Namco Bandai Games,0.41,0.0,0.0,0.44
4426,DS,2004.0,Simulation,Electronic Arts,0.4,0.01,0.02,0.44
4444,Wii,2008.0,Misc,Ubisoft,0.1,0.29,0.0,0.44
4445,DS,2007.0,Misc,Ubisoft,0.4,0.01,0.0,0.44
4453,Wii,2009.0,Shooter,Nintendo,0.2,0.14,0.06,0.44
4459,DS,2007.0,Simulation,Ubisoft,0.41,0.0,0.0,0.44
4460,DS,2007.0,Simulation,Activision,0.4,0.0,0.0,0.44
4461,PSP,2009.0,Strategy,Konami Digital Entertainment,0.19,0.07,0.12,0.44
4466,DS,2010.0,Action,THQ,0.26,0.14,0.0,0.44
4482,Wii,2007.0,Platform,THQ,0.4,0.0,0.0,0.44
4484,DS,2010.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.44,0.44
4486,Wii,2011.0,Misc,Ubisoft,0.41,0.0,0.0,0.44
4489,DS,2006.0,Puzzle,Nintendo,0.16,0.0,0.26,0.44
4503,PC,2013.0,Sports,Electronic Arts,0.01,0.36,0.0,0.43
4506,DS,2010.0,Misc,THQ,0.41,0.0,0.0,0.43
4509,PC,2016.0,Shooter,Activision,0.22,0.18,0.0,0.43
4511,Wii,2010.0,Sports,Electronic Arts,0.38,0.03,0.0,0.43
4523,Wii,2010.0,Sports,Electronic Arts,0.23,0.15,0.01,0.43
4529,Wii,2010.0,Action,Activision,0.24,0.15,0.0,0.43
4534,DS,2008.0,Simulation,Ubisoft,0.39,0.01,0.0,0.43
4535,DS,2006.0,Platform,Konami Digital Entertainment,0.33,0.03,0.04,0.43
4538,Wii,2013.0,Sports,Electronic Arts,0.0,0.38,0.0,0.43
4545,PSP,2006.0,Role-Playing,Ubisoft,0.17,0.01,0.23,0.43
4551,Wii,2009.0,Racing,Electronic Arts,0.39,0.0,0.0,0.43
4557,DS,2009.0,Shooter,Activision,0.37,0.02,0.0,0.43
4558,Wii,2007.0,Simulation,Ubisoft,0.39,0.0,0.0,0.43
4559,DS,2011.0,Action,Ubisoft,0.24,0.14,0.0,0.43
4565,PSP,2006.0,Racing,THQ,0.11,0.2,0.0,0.43
4590,Wii,2007.0,Shooter,Electronic Arts,0.34,0.04,0.01,0.42
4591,PSP,2007.0,Strategy,Konami Digital Entertainment,0.03,0.2,0.1,0.42
4596,DS,2010.0,Action,Electronic Arts,0.2,0.19,0.0,0.42
4597,DS,2006.0,Simulation,Ubisoft,0.38,0.01,0.0,0.42
4598,DS,2009.0,Action,THQ,0.42,0.0,0.0,0.42
4606,Wii,2007.0,Platform,Sega,0.33,0.03,0.04,0.42
4610,DS,2009.0,Fighting,THQ,0.37,0.02,0.0,0.42
4613,PSP,2005.0,Sports,Electronic Arts,0.39,0.0,0.0,0.42
4616,PSP,2008.0,Fighting,Namco Bandai Games,0.0,0.0,0.42,0.42
4637,DS,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.42,0.42
4641,DS,2009.0,Simulation,Ubisoft,0.35,0.03,0.0,0.42
4644,Wii,2008.0,Racing,Activision,0.39,0.0,0.0,0.42
4653,Wii,2007.0,Adventure,Nintendo,0.18,0.17,0.03,0.42
4660,Wii,2011.0,Sports,Namco Bandai Games,0.16,0.0,0.25,0.42
4663,PSP,2010.0,Sports,Sega,0.0,0.28,0.0,0.42
4668,PSP,2007.0,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.42
4694,PSP,2009.0,Fighting,Namco Bandai Games,0.0,0.0,0.41,0.41
4701,PSP,2009.0,Shooter,Activision,0.17,0.15,0.0,0.41
4703,DS,2009.0,Adventure,THQ,0.15,0.22,0.0,0.41
4707,DS,2008.0,Platform,Konami Digital Entertainment,0.31,0.03,0.04,0.41
4713,Wii,2009.0,Misc,Ubisoft,0.28,0.1,0.0,0.41
4714,Wii,2009.0,Simulation,Electronic Arts,0.36,0.03,0.0,0.41
4719,PSP,2009.0,Action,THQ,0.24,0.1,0.0,0.41
4722,Wii,2011.0,Misc,THQ,0.36,0.03,0.0,0.41
4723,PSP,2009.0,Racing,THQ,0.29,0.07,0.0,0.41
4740,PC,2014.0,Shooter,Activision,0.14,0.23,0.0,0.41
4741,Wii,2011.0,Misc,THQ,0.26,0.11,0.0,0.41
4750,Wii,2006.0,Role-Playing,Activision,0.37,0.01,0.0,0.41
4752,PSP,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.41,0.41
4759,Wii,2008.0,Simulation,Electronic Arts,0.34,0.04,0.0,0.41
